zip,med_income,bought_car,child_exp,polit_dem,polit_rep,disp_inc,bach_deg,rel_club,bar_club,food_exp,health_ins,male_pop,fem_pop,married
71104,38569,1455,892,4862,2323,45504,2260,434,2162,40164190,16679321,7478,7967,4814
71063,33085,98,58,159,135,46377,60,28,38,1848274,913291,373,384,315
70630,62143,155,103,207,400,62540,139,46,191,4186474,1926101,699,718,636
70605,63445,4048,2522,7852,9076,69632,5931,1089,5530,136562241,61709187,17945,18972,16102
71105,55207,2776,1509,5965,4762,58746,3952,708,3437,83101251,35081292,10789,11571,8243
71078,52895,719,396,1015,1748,54326,618,180,780,17040077,8134498,3272,3241,2996
71067,41561,409,221,739,704,45559,140,94,334,8109117,3647954,1812,1915,1748
71030,50982,196,89,282,437,55294,164,29,159,4791674,2274998,862,857,774
70601,30308,2907,1814,12344,3503,39035,2640,1040,3661,69863068,30925359,15785,17400,9331
71106,51473,3228,2185,10525,5861,70428,4895,1190,4628,132653422,59283381,16873,18706,13445
71101,19527,588,376,3447,488,25969,530,254,745,11632989,4907267,4038,3971,1363
70450,31957,348,213,412,834,42612,191,75,235,7350466,3665840,1548,1582,1227
70118,37063,2774,2090,12156,5282,54151,5835,1005,6223,109098581,45580354,16766,18576,8626
70453,38826,128,79,224,204,43686,28,29,72,2325782,1146834,548,538,411
70456,26648,426,254,693,590,34379,201,120,170,5805977,2868344,1656,1693,1240
70743,66107,37,24,44,91,67543,14,15,52,1141626,550760,187,161,125
70455,41523,180,84,269,415,43331,171,27,152,3296312,1563151,794,810,673
70070,69552,1457,1014,2485,3333,70630,1671,430,1824,42857694,19898839,6477,6850,5494
71118,47734,2727,1623,5334,5224,50669,2523,748,3266,64030080,27795744,11363,13129,8513
70730,49042,406,263,644,785,53952,260,114,309,9808140,4818217,1703,1776,1268
71111,54524,4647,3086,10071,8722,58756,5513,1287,5652,135066921,57578223,21231,23020,16477
70072,45952,5385,4010,16008,8856,50088,3699,1632,6302,131725833,59306815,27204,29973,20811
70715,41983,152,109,188,393,46015,132,40,102,3400257,1719300,752,790,519
70723,44095,202,143,390,330,49428,117,68,93,4103903,2027869,966,878,464
70725,64710,191,143,261,544,73137,342,60,279,6163144,2885861,909,967,1050
71223,30086,55,34,92,80,38938,30,16,22,888764,439493,208,212,183
71201,47017,2198,1249,6076,3807,60444,4062,629,2750,77190626,33892625,9672,11060,7273
70360,63948,3039,2165,6707,6519,67704,3539,849,4112,96144426,43132637,14113,14700,11595
70373,53933,875,508,1433,1936,53944,529,173,797,20299784,9759651,3961,3903,3441
70364,49462,3293,1920,5773,6522,52818,2358,873,3383,80947095,36346469,15309,15753,11741
71432,45245,134,86,247,189,46082,41,24,82,2551746,1274471,498,527,454
71439,39270,241,163,399,444,41813,57,49,155,4397321,2205962,996,1031,999
70506,42723,4660,2704,11750,8281,49778,6273,1328,5965,129022701,52279647,22015,23034,13669
71235,46024,573,325,741,1220,51966,616,130,512,12982453,6220151,2267,2335,2322
71245,25389,268,307,1116,975,33033,252,109,685,5031435,2244162,2039,2728,701
70512,46031,1195,664,1768,2654,48888,660,218,904,26211790,12756577,5258,5398,4450
71275,37638,298,165,408,718,47676,220,56,231,6481994,3161022,1350,1282,1086
70513,46101,18,10,29,22,48466,15,3,9,369553,184549,61,52,15
71243,32170,22,13,22,49,44550,13,5,13,504998,255674,99,92,86
71450,44964,139,88,250,196,51933,95,28,77,3061318,1523919,530,539,519
71277,40017,200,126,243,472,48076,120,46,130,4732543,2369007,873,890,764
71301,36126,1813,1203,8016,2711,44971,1897,666,2487,51366382,22898244,10824,12222,6570
71229,39648,178,121,316,363,46818,127,52,109,3636640,1787028,854,767,710
71266,32569,218,129,357,297,40182,112,48,103,3650761,1813815,822,849,624
71260,43377,425,255,714,605,45520,168,88,233,8064493,3998349,1533,1622,1345
71233,28939,33,23,37,83,45349,17,8,21,787395,398648,147,148,138
70451,36258,22,10,40,33,41295,17,5,18,398081,170719,102,95,61
70119,30596,3207,1982,14882,4303,40541,6318,1167,5176,94296246,39246793,21684,20036,8416
71331,48488,122,56,178,275,52173,47,18,100,2810501,1332773,528,546,613
70437,53927,971,597,1521,2257,59054,774,202,933,26897531,12970833,4394,4575,4233
71039,36312,249,140,397,377,42212,115,57,125,4313052,2116818,905,1002,741
71375,26251,91,60,494,67,29638,41,38,89,1893433,881714,549,585,276
71339,36934,16,11,24,33,45906,9,4,10,331207,166269,67,73,49
71341,34703,370,231,502,780,40327,152,76,240,6828704,3415842,1621,1574,1524
71333,39778,85,54,90,200,51165,40,20,52,2241790,1134990,397,288,248
71302,27434,1068,724,6662,1003,35698,812,522,1372,26476046,12220153,7129,8334,4522
71323,36443,92,69,119,259,44146,90,25,68,2006036,1012010,459,513,470
70719,67748,562,360,817,1490,68309,661,147,673,16876396,7872722,2625,2729,2268
70736,49644,64,34,90,153,52305,29,11,51,1540787,746647,295,278,213
71426,42510,29,13,43,64,48286,13,4,23,585738,278412,124,127,109
70342,40352,605,380,1003,1136,49680,311,157,451,13163579,6287196,2553,2632,1907
71358,34432,139,84,199,235,41143,37,37,64,2477688,1234493,528,579,407
70301,51253,4934,2902,10696,9817,57175,4740,1196,5099,136566051,62289815,22433,24091,17680
70339,49409,730,370,1008,1670,52870,224,125,579,17678634,8557007,3026,3072,2746
70346,35842,1054,685,3311,1716,41023,949,417,928,22239405,10494187,5698,6074,3139
70462,51865,764,364,1056,1711,52430,509,121,607,17884217,8554286,3188,3250,2605
70464,55438,41,18,58,90,61719,22,6,33,1125254,533609,164,171,177
70503,76034,3294,2352,7741,7049,80232,7402,911,5139,132717810,58547905,15176,15999,11805
70341,44648,523,339,873,857,51701,236,140,260,11680648,5809737,2148,2267,1524
71419,36067,301,203,484,563,45681,102,62,192,6274226,3151443,1293,1252,1239
71367,52178,173,110,317,245,48995,109,30,106,3616009,1804489,683,674,681
71345,28089,12,5,15,12,35141,2,3,3,167834,82932,32,36,19
70355,39934,128,94,270,206,46424,72,26,89,2481887,1239415,565,542,431
70356,34607,334,215,602,492,41413,195,84,169,5703624,2830037,1299,1392,894
71346,45205,338,183,929,619,52737,186,107,360,8339175,3911781,1607,1676,1385
71356,39783,75,47,89,161,49375,27,18,42,1793504,903515,329,333,306
70466,40995,1073,543,1759,2022,45916,841,252,893,21635762,9677249,4936,4673,3423
71406,39853,28,19,55,42,51881,24,5,18,626531,312879,114,116,112
70523,36726,112,80,223,183,41307,37,22,76,1956852,978259,459,481,224
71405,42744,657,372,1241,1289,46496,532,176,678,13705715,6678318,3002,2867,2295
70519,65621,29,13,41,64,71043,26,4,23,947494,449313,114,123,101
70520,48018,2161,1395,3716,5212,53314,2028,632,2374,52684630,24178913,10346,10632,8443
71353,20080,239,134,318,370,31910,69,58,100,3238508,1613015,860,892,623
70508,64747,4675,2918,9123,9512,74037,8686,1201,6166,172153475,75590259,19709,20868,17329
70420,56935,861,581,1545,1950,59334,1178,195,1084,23211135,10863248,3969,4226,3480
70390,40723,836,533,1419,1567,49253,500,229,519,17702368,8687453,3544,3742,2514
70544,35505,1012,682,3643,1592,44391,624,364,927,24442492,11654794,5545,6112,4272
70549,37469,536,344,986,763,42696,269,95,330,9538135,4756266,2022,2128,1631
70577,35785,590,311,896,1005,45296,232,124,338,11536475,5618134,2401,2436,2086
70380,39454,2571,1612,5310,4569,45866,1346,590,2327,56842453,26844280,12082,12006,8420
70528,52386,305,198,579,531,52536,131,56,218,6699003,3307825,1301,1319,1079
70543,41005,526,313,927,915,44591,335,90,368,9943103,4882868,2270,2273,2055
71472,39527,41,17,54,84,46632,7,5,31,800567,379639,163,160,134
70394,45573,1588,1026,2998,3304,53597,1208,487,1580,39156399,18758775,7334,7590,5934
70529,50603,1324,764,2361,2886,57775,1013,361,1347,36340949,15963549,6472,6594,4947
71485,60919,235,162,412,524,65178,194,65,339,6579680,3008925,990,990,855
70395,60769,537,350,891,1261,62755,318,129,585,14294359,6741360,2478,2510,1931
70644,47801,36,18,56,87,51656,33,6,32,829701,393454,178,171,111
70067,56352,267,155,401,689,68911,180,52,227,8999453,4364118,1302,1246,1100
71401,43944,15,11,31,23,51010,10,3,10,336031,167808,63,61,75
71454,39459,361,201,520,502,45225,110,92,139,6729450,3335776,1295,1309,1229
70393,30649,100,70,202,154,43329,61,19,67,1876477,937083,417,415,304
70127,32818,1889,1068,10272,1672,37958,1938,960,2294,45701439,19665893,11419,13499,5634
71327,36953,411,255,1135,612,46354,165,124,283,9756503,4691747,3653,2176,2197
70514,33056,301,168,568,487,38734,131,76,227,5012098,2390329,1268,1354,682
71336,36676,212,140,342,396,41944,171,43,137,3882337,1943833,832,875,821
70392,45628,986,582,1715,2050,50342,531,230,871,23155121,10815075,4602,4729,3029
70714,42099,1749,1029,7761,1964,46762,1654,734,1946,41640709,19160167,9352,10518,6186
70343,59320,581,412,857,1585,63502,449,188,795,16225988,7719734,2919,2858,2715
70750,32801,254,153,348,443,46892,64,65,119,5405905,2696694,1061,1065,933
71291,48756,3891,2387,7143,8170,53505,4797,982,4521,98858201,44387474,16363,18411,14230
70006,61502,1697,1170,3706,3720,67773,2848,456,2392,55803918,25080068,7842,8000,6137
70036,43927,115,73,207,284,52197,53,34,117,2958394,1462264,546,549,444
70056,51232,3904,2649,8906,7208,57155,3944,1205,5420,106437401,45287915,19170,20766,14483
70507,50438,1973,1177,3387,4233,53165,1732,583,2156,50012438,22309264,8875,9542,6408
71456,35828,173,76,233,317,46001,134,28,111,3437703,1648722,660,661,498
70058,48945,3730,2726,10244,6855,52638,3390,1071,5160,91256391,40201282,19231,20877,13383
71029,40356,36,21,58,47,48883,32,9,15,739986,366713,129,120,126
70403,41686,2829,1831,6532,5497,47345,2689,706,3220,67922211,30866301,13914,15031,9623
71369,34421,381,243,663,561,40362,96,115,158,6154261,3041016,1440,1836,1020
70086,37453,165,88,1115,95,41981,143,104,187,3771486,1763588,1089,1123,558
70721,38836,95,69,188,159,42366,68,33,45,1606468,793807,476,470,199
70465,19052,39,35,402,16,23684,9,26,69,857499,390917,378,446,175
