zip,med_income,bought_car,child_exp,polit_dem,polit_rep,disp_inc,bach_deg,rel_club,bar_club,food_exp,health_ins,male_pop,fem_pop,married
71272,0,0,132,541,441,0,0,56,795,0,0,1068,844,11
71055,38189,1928,1298,5854,3398,44556,1637,581,2040,45602116,21479971,9830,10349,7290
70443,42871,1317,680,2018,2535,47411,739,283,922,26581745,12597090,5668,5874,4243
71438,41093,202,111,275,456,46519,63,37,149,4245722,2073566,897,901,776
70003,54869,4287,2963,10353,8573,59687,6180,1230,5922,120229829,55031234,19577,20768,15768
70005,58143,3080,1835,6406,5827,71172,4859,779,3794,112009424,50236595,12158,12659,9735
70115,52431,3426,2280,11815,5356,65599,7636,896,6920,156023221,63844249,16804,17782,10765
71040,32663,790,772,2782,1854,39824,641,336,870,15925706,7775441,6160,3793,3037
70526,34880,1785,1171,5436,2802,41951,1087,434,1832,40530205,18933251,9493,10054,6389
71070,34792,236,155,410,381,40606,104,45,147,4077205,2041757,912,881,874
70659,34786,164,98,233,401,43633,148,49,167,3116352,1393363,754,774,630
71107,36857,2846,1734,11001,5058,45669,2175,1021,3404,73234099,33660807,16712,17351,11351
70085,38553,560,310,931,1082,44881,212,128,380,10879810,5255011,2495,2409,2007
71209,0,0,9,34,34,0,14,4,25,0,0,64,98,25
71280,51967,526,323,822,997,61084,592,134,543,13987854,6631237,2200,2308,1917
70655,39466,411,261,729,593,43085,160,88,224,7310611,3639273,1589,1616,1066
71068,30630,493,276,771,625,39897,123,108,214,8012553,3976569,1635,1752,1391
70660,46111,200,158,492,770,44897,201,51,278,3813015,1815877,1758,1043,1104
70663,50176,3121,1785,5515,6465,53408,2258,700,3287,76855298,35657363,14016,14821,12134
70706,65808,2307,1670,3752,6098,62502,2165,718,2998,61763644,27759714,11246,11687,9664
70121,43170,1220,788,3502,2201,47871,1600,308,1611,33679557,15024825,5778,6065,3671
70122,39331,2984,1864,15161,3323,49130,4379,1313,4019,93041677,41915503,16120,19060,9685
71292,39589,2475,1324,4413,4824,45590,1208,531,2259,51128612,23605223,11314,11513,8646
70375,50000,17,12,31,27,50224,13,5,7,342606,169293,83,58,49
71423,43053,536,301,735,1260,49091,343,125,514,11506995,5559210,2414,2429,2000
71429,42613,381,237,612,812,47019,183,81,319,8117659,4060679,1623,1667,1720
71430,39581,298,166,471,706,48697,112,54,260,6622114,3184538,1501,1391,1287
71433,36927,579,363,898,1019,40623,199,132,341,10125622,5034666,2359,2419,2204
71457,28476,2792,1727,6839,5069,41441,2127,753,3286,61344692,26894523,13539,15015,8368
70726,56511,6084,3928,10287,12461,58212,5400,1536,6561,157646566,69759165,28198,29287,21540
70130,53399,1717,1062,5923,2199,63989,3986,387,3469,82041738,31752023,7976,7508,3771
71328,52768,820,478,1239,2067,53084,823,212,824,19086682,8749173,3793,3914,4083
70787,38441,22,10,28,24,44336,9,5,7,386074,190771,62,67,38
71112,53196,3716,2447,7505,8011,55230,4154,1020,4767,95304158,42343955,17513,17784,13121
71351,33190,1199,712,2832,2190,42363,550,337,1050,24862203,11966064,5758,5934,4196
70517,43406,3107,1678,5606,6103,49349,1936,659,2686,68910200,32140218,14251,14493,11179
70463,55620,17,7,24,36,65829,9,2,13,506166,240030,66,68,78
70402,0,0,117,479,322,0,181,39,372,0,0,681,890,250
70139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70340,41523,7,5,20,16,41082,0,2,8,135641,58626,51,46,30
71203,41083,3657,2301,9076,7667,48801,4256,1110,4711,93382645,40736343,18103,20547,12723
71220,28157,2055,1311,6409,3601,35963,1578,636,1952,39932316,19030000,10538,11699,7836
71371,48775,275,182,523,399,56890,110,50,172,6847383,3419475,1077,1074,836
71377,39933,13,11,31,24,43064,1,3,10,246543,123120,86,24,28
71410,32911,17,11,32,24,36005,6,3,10,248025,123860,64,64,50
71414,26264,30,19,52,44,33665,20,9,12,404679,199965,117,124,57
71416,32588,129,72,193,172,36644,91,34,48,1873704,927029,435,482,349
71417,36360,557,346,901,1008,41461,291,153,320,10366645,5113359,2479,2476,2035
71418,37259,758,491,1428,1206,47006,424,140,536,16680840,8187059,3049,3241,2472
70582,42689,2318,1403,4702,4039,47737,1562,518,1713,48432395,23470082,10060,10472,7770
70079,58160,352,218,533,751,57907,149,98,449,8517863,3959518,1511,1584,1266
70585,57808,35,20,58,44,52174,5,6,19,760692,379878,128,117,124
70589,35000,421,219,620,733,45221,210,90,238,8187031,3981102,1679,1717,1305
71222,38439,407,246,645,666,42842,132,105,222,7901315,3915021,1688,1754,1263
71226,41756,226,126,279,391,46073,107,52,107,4651600,2320732,832,858,688
71232,39417,663,418,1611,1259,49803,399,209,546,17779007,8591008,3371,3404,2613
71238,48716,330,171,460,774,50439,198,57,264,7334022,3541162,1474,1454,1339
71251,38468,814,607,2303,1693,43835,508,259,752,18963979,9225413,4801,4314,2827
71001,28697,478,310,1143,813,38312,424,136,385,8977275,4254055,2110,2393,1410
71019,34526,926,605,2069,1390,44064,503,229,584,19331099,9536900,3985,4238,3095
71027,48437,197,93,279,445,47983,97,31,157,4104696,1960127,832,841,740
70113,20126,680,447,3785,729,31228,869,274,1082,16602326,6896631,4332,4451,1623
70633,41893,821,534,1709,1659,47870,418,183,642,19431125,9472828,3981,4080,3737
71028,30691,245,134,362,314,41583,97,63,88,4246554,2099620,814,861,693
70116,32102,1214,758,5574,1454,47526,2424,417,2156,46117083,18744193,6972,6125,2848
71261,29348,244,134,359,320,40421,107,63,89,4067742,2012955,844,902,691
71263,31475,975,600,1548,1746,42810,459,215,575,18953222,9348604,4022,4190,3416
71268,45372,321,206,460,704,47464,245,83,261,7071434,3525272,1390,1423,1497
71269,32326,1179,882,3090,2528,40204,758,370,1119,24847700,12024734,6335,6628,5047
71270,32088,3101,1916,7914,6143,44733,4183,862,4316,79008944,33409215,15629,16129,9474
71037,59594,2428,1436,3873,5471,61724,1904,577,2554,65381979,29975654,10684,11047,9499
71051,57457,261,176,467,636,61755,190,78,316,8083318,3840509,1251,1260,1258
70537,46658,70,47,136,103,48228,33,13,45,1421698,709973,289,289,243
70656,36801,487,285,843,846,42658,190,84,339,8785039,4294320,2097,2043,1601
70441,36625,654,387,1067,942,46104,183,178,298,13052220,6443770,2555,2631,1589
