OBJECTID,spend_zips_ZCTA5CE10,spend_zips_AFFGEOID10,spend_zips_Shape_Leng,spend_zips_sourceCountry,spend_zips_ORIG_ID,spend_zips_aggregationMethod,spend_zips_populationToPolygonSizeRating,spend_zips_apportionmentConfidence,spend_zips_HasData,spend_zips_med_inc,spend_zips_bought_car,spend_zips_child_spent,spend_zips_poli_dem,spend_zips_poli_rep,spend_zips_disp_inc,spend_zips_BACHDEG_CY,spend_zips_rel_club,spend_zips_bar_spend,spend_zips_MALES_CY,spend_zips_FEMALES_CY,spend_zips_MARRIED_CY,spend_zips_food_percapita,spend_zips_health_percapita,LAzips_ZIP_CODE,LAzips_PO_NAME,LAzips_STATE,LAzips_POPULATION,LAzips_SQMI,LAzips_Shape__Area,LAzips_Shape__Length,Shape_Length,Shape_Area,Republican
35,70043,8600000US70043,27619.52526,US,35,BlockApportionment:US.BlockGroups,2.191,2.576,1,41786,1826,1168,4617,2873,45723,1492,493,2307,9825,9616,6106,2185.563477,921.0194702,70043,Chalmette,LA,19766,15.83,0.003831899,0.316536012,27619.52515,28796747.28,
36,70052,8600000US70052,22317.34225,US,36,BlockApportionment:US.BlockGroups,2.191,2.576,1,51321,456,296,625,986,52987,214,168,498,2015,2172,1510,2399.970947,1166.095337,70052,Gramercy,LA,4281,36.42,0.008835627,0.476494135,22317.34199,10291622.35,
37,70053,8600000US70053,18711.12539,US,37,BlockApportionment:US.BlockGroups,2.191,2.576,1,35769,1489,1024,4770,2230,44018,1171,421,2126,8574,7956,5040,2274.030518,976.3755493,70053,Gretna,LA,16431,3.88,0.000937272,0.158271208,18711.12553,13458382.32,
38,70586,8600000US70586,285607.687,US,38,BlockApportionment:US.BlockGroups,2.191,2.576,1,34619,2250,1475,5837,3225,42934,1330,539,1689,10232,10648,8045,2072.487793,989.9755249,70586,Ville Platte,LA,22834,331.58,0.080912256,2.127591072,285607.6871,1093442917,
39,71469,8600000US71469,321729.8309,US,39,BlockApportionment:US.BlockGroups,2.191,2.576,1,38826,356,216,584,612,48386,171,70,222,1409,1450,1257,2669.73877,1321.383545,71469,Robeline,LA,2824,238.64,0.058790602,2.602449864,321729.8307,842580080.8,
40,70510,8600000US70510,248221.4182,US,40,BlockApportionment:US.BlockGroups,2.191,2.576,1,42621,2665,1647,6174,4872,48937,1630,637,2539,12559,13411,9799,2392.739258,1124.053955,70510,Abbeville,LA,26645,356.6,0.086185341,2.849133298,248221.4176,807464196.8,
41,70535,8600000US70535,176971.0662,US,41,BlockApportionment:US.BlockGroups,2.191,2.576,1,36501,1977,1285,4200,3346,43672,1000,456,1720,8867,9664,6801,2245.541992,1086.842896,70535,Eunice,LA,18391,150.96,0.036729092,1.679550958,176971.0662,529908767.3,
42,70563,8600000US70563,136715.6467,US,42,BlockApportionment:US.BlockGroups,2.191,2.576,1,61767,2130,1384,3487,4955,65414,2298,587,2424,9524,9946,8642,3195.216309,1504.207153,70563,New Iberia,LA,19781,54.63,0.013236989,0.874837079,136715.647,219705922.4,
43,71354,8600000US71354,198327.301,US,43,BlockApportionment:US.BlockGroups,2.191,2.576,1,36519,202,138,308,411,43581,132,44,131,906,847,837,2208.483643,1111.282959,71354,Monterey,LA,1813,271.39,0.066575891,2.86714644,198327.3022,356041976.1,
44,70739,8600000US70739,145201.1764,US,44,BlockApportionment:US.BlockGroups,2.191,2.576,1,62676,1503,1030,2471,3626,65773,2016,398,1990,6808,7067,6693,3491.102539,1601.737549,70739,Greenwell Springs,LA,12336,50.67,0.012344958,1.265095403,145201.1768,172692790.8,
45,70554,8600000US70554,165018.673,US,45,BlockApportionment:US.BlockGroups,2.191,2.576,1,25727,717,416,1248,1012,34011,311,141,396,2799,3039,1720,1672.299805,815.7405396,70554,Mamou,LA,6468,143.95,0.035078375,1.131640879,165018.6723,404810282.2,
46,70546,8600000US70546,213776.0825,US,46,BlockApportionment:US.BlockGroups,2.191,2.576,1,40034,1729,1172,4451,2787,47392,1002,424,1537,8206,8574,6326,2323.479736,1128.489502,70546,Jennings,LA,16831,161.87,0.03930037,1.738871146,213776.0823,531055593.6,
47,71115,8600000US71115,215505.1066,US,47,BlockApportionment:US.BlockGroups,2.191,2.576,1,52930,1650,894,3927,3146,63480,2623,453,1979,6978,7979,5385,3903.830322,1662.843872,71115,Shreveport,LA,14947,96.37,0.02389319,1.258106193,215505.1066,428301882,
48,71441,8600000US71441,126811.3268,US,48,BlockApportionment:US.BlockGroups,2.191,2.576,1,37426,91,60,173,132,45034,27,17,57,372,356,331,1775.817017,886.8149414,71441,Kelly,LA,978,44.26,0.010934222,0.642493879,126811.3269,196882315.8,
49,71031,8600000US71031,168164.7719,US,49,BlockApportionment:US.BlockGroups,2.191,2.576,1,34498,135,93,267,203,40851,49,25,88,560,523,482,2097.557861,1047.487549,71031,Goldonna,LA,1081,140.18,0.034649288,1.329924315,168164.7715,575845549.3,
50,70657,8600000US70657,194623.6404,US,50,BlockApportionment:US.BlockGroups,2.191,2.576,1,47010,528,255,815,1259,51664,378,82,460,2535,2452,2469,2442.722168,1158.368164,70657,Ragley,LA,4884,119.71,0.029127281,1.268899386,194623.6401,508889521.3,
51,71326,8600000US71326,155190.1049,US,51,BlockApportionment:US.BlockGroups,2.191,2.576,1,27679,154,88,240,204,41561,30,42,58,575,628,411,2060.493408,1018.461182,71326,Clayton,LA,1275,169.92,0.041905884,1.237734223,155190.1046,295716165.9,
52,71343,8600000US71343,429639.5235,US,52,BlockApportionment:US.BlockGroups,2.191,2.576,1,36270,874,580,2164,1177,42297,516,202,586,3881,3589,3109,2181.890381,1072.449829,71343,Jonesville,LA,7747,449.85,0.110616228,3.388443018,429639.5247,2037473278,
53,70764,8600000US70764,202862.6786,US,53,BlockApportionment:US.BlockGroups,2.191,2.576,1,44490,2021,1115,4183,3847,51772,1072,559,1640,9147,9516,6583,2696.5,1292.476685,70764,Plaquemine,LA,18035,212.72,0.051619077,1.566285929,202862.6792,583014930.7,
54,71227,8600000US71227,193130.7751,US,54,BlockApportionment:US.BlockGroups,2.191,2.576,1,39536,463,226,672,1074,50515,635,77,412,1943,2010,1972,2353.46875,1113.917114,71227,Choudrant,LA,4259,136.38,0.033908318,1.666986044,193130.775,410015280,
55,70515,8600000US70515,140887.6057,US,55,BlockApportionment:US.BlockGroups,2.191,2.576,1,34214,426,325,938,760,42059,155,90,323,2213,1755,1462,1742.112793,865.8303223,70515,Basile,LA,4291,77.87,0.018942483,1.370705194,140887.605,259900718,
56,70542,8600000US70542,157748.4154,US,56,BlockApportionment:US.BlockGroups,2.191,2.576,1,39162,472,303,871,664,46352,125,83,287,1713,1804,1688,2507.122559,1252.017456,70542,Gueydan,LA,3712,222.73,0.053931919,1.559996086,157748.4163,682193793.8,
57,70435,8600000US70435,162220.2091,US,57,BlockApportionment:US.BlockGroups,2.191,2.576,1,60720,2015,1368,3854,4629,65945,2975,630,2632,9442,9799,9144,3066.62793,1439.377075,70435,Covington,LA,20052,92.99,0.022643136,1.336677776,162220.2086,372841814.1,
58,70550,8600000US70550,6877.419121,US,58,BlockApportionment:US.BlockGroups,2.191,2.576,1,26234,24,15,42,32,31501,41,4,14,88,92,77,,,,,,,,,,6877.418933,1293769.011,
59,70559,8600000US70559,132120.4816,US,59,BlockApportionment:US.BlockGroups,2.191,2.576,1,39105,376,261,750,572,45282,147,71,247,1601,1559,1354,1884.779663,941.229126,70559,Morse,LA,3780,87.75,0.021275132,1.166605932,132120.4826,288103047.7,
60,70773,8600000US70773,16093.34872,US,60,BlockApportionment:US.BlockGroups,2.191,2.576,1,50000,18,10,23,43,53443,7,4,13,80,79,59,1352.916382,661.7402954,70773,Rougon,LA,335,5.01,0.001220529,0.166688001,16093.34843,12919585.91,
61,70775,8600000US70775,218149.1423,US,61,BlockApportionment:US.BlockGroups,2.191,2.576,1,56953,1151,710,1847,2541,59443,1247,269,1111,4917,5103,3268,1911.836182,913.1657104,70775,Saint Francisville,LA,15574,369.73,0.090324178,1.96936565,218149.1428,1145425726,
62,70780,8600000US70780,39333.27762,US,62,BlockApportionment:US.BlockGroups,2.191,2.576,1,53247,129,60,192,297,59940,89,19,108,559,548,510,3695.871094,1752.626221,70780,Sunshine,LA,947,15.08,0.003662567,0.280254321,39333.2774,57472170.49,
63,70032,8600000US70032,12836.71542,US,63,BlockApportionment:US.BlockGroups,2.191,2.576,1,35986,425,267,1114,619,40757,406,109,480,2279,2080,1470,2041.667236,868.8842773,70032,Arabi,LA,4441,4.23,0.001023961,0.192638795,12836.71544,6040682.484,
64,71435,8600000US71435,244928.4507,US,64,BlockApportionment:US.BlockGroups,2.191,2.576,1,37346,504,356,1005,795,46568,223,123,300,2337,1924,1596,2511.169189,1250.486084,71435,Grayson,LA,3985,152.1,0.037623601,1.628176415,244928.4512,730257747.8,
65,70444,8600000US70444,185436.7998,US,65,BlockApportionment:US.BlockGroups,2.191,2.576,1,36775,1168,636,2366,2124,42827,644,273,845,5358,5466,4139,2185.429443,1040.572021,70444,Kentwood,LA,10662,247.9,0.060577056,1.660718243,185436.8005,890680826,
66,70431,8600000US70431,121903.0343,US,66,BlockApportionment:US.BlockGroups,2.191,2.576,1,60303,672,398,1009,1639,65079,545,153,756,2946,3008,3121,3011.98877,1426.292358,70431,Bush,LA,6551,93.86,0.0228681,1.265424966,121903.0337,256520413.8,
